data;tipo;pessoa;cargo_id;cargo;interino;fonte
2025-08-29;posse;Pietro Mendes;br-anp-diretor;Diretor da ANP;não;https://www.gov.br/anp/pt-br/composicao/diretoria-colegiada/composicao-diretoria-colegiada
2025-08-29;posse;Lorena Giuberti Coutinho;br-diretor-da-anpd;Diretor da ANPD;não;https://www.gov.br/anpd/pt-br/composicao/conselho-diretor/lorena-giuberti-coutinho
2025-08-28;posse;Larissa Oliveira Rêgo;br-ana-diretor;Diretor da ANA;não;https://www.gov.br/ana/pt-br/acesso-a-informacao/institucional/diretoria-colegiada
2025-08-28;posse;Cristiane Collet Battiston;br-ana-diretor;Diretor da ANA;não;https://www.gov.br/ana/pt-br/acesso-a-informacao/institucional/diretoria-colegiada
2025-08-28;posse;Leonardo Góes Silva;br-ana-diretor;Diretor da ANA;não;https://www.gov.br/ana/pt-br/acesso-a-informacao/institucional/diretoria-colegiada
2025-08-20;sabatina;José Fernando de Mendonça Gomes Júnior;br-anm-diretor;Diretor da ANM;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/166756
2025-08-20;sabatina;Guilherme Theo Rodrigues da Rocha Sampaio;br-antt-dirigente;Diretor-Geral da ANTT;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/166758
2025-08-20;sabatina;Alessandro Facure Neves de Salles Soares;br-ancine-dirigente;Diretor-Presidente da Ancine;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/166746
2025-08-20;sabatina;Renata Sousa Cordeiro;br-antaq-dirigente;Diretor-Geral da Antaq;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169592
2025-08-20;sabatina;;br-antt-diretor;Diretor da ANTT;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169594
2025-08-20;sabatina;Frederico Carvalho Dias;br-antaq-dirigente;Diretor-Geral da Antaq;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169667
2025-08-20;sabatina;Lenise Barcellos de Mello Secchin;br-ans-diretor;Diretor da ANS;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169847
2025-08-20;sabatina;Guilherme Theo Rodrigues da Rocha Sampaio;br-antt-dirigente;Diretor-Geral da ANTT;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169909
2025-08-20;posse;Verônica Abdalla Sterman;br-superior-tribunal-militar-ministro;Ministro do Superior Tribunal Militar;não;https://www.stm.jus.br/institucional/conheca-o-superior-tribunal-militar/composicao-da-corte
