id;nome;viagens;diarias;passagens;total;exterior
br-p-carlos-augusto-simoes-goncalves-junior;Carlos Augusto Simões Gonçalves Junior;3;3756,56;18413,29;22169,85;0
br-p-marcos-perioto;Marcos Perioto;4;44763,74;44178,83;88942,57;2
br-p-carlos-henrique-menezes-sobral;Carlos Henrique Menezes Sobral;9;25930,46;64682,98;90613,44;1
br-p-augusto-lira-da-rocha;Augusto Lira da Rocha;9;24637,36;57052,90;81690,26;1
br-p-caroline-dias-dos-reis;Caroline Dias dos Reis;13;34276,49;140154,96;174431,45;2
br-p-tassiana-cunha-carvalho;Tassiana Cunha Carvalho;10;17071,64;58534,02;75605,66;0
br-p-alexandre-da-silva;Alexandre da Silva;15;55815,58;65241,41;121056,99;3
br-p-isadora-rodrigues-nascimento-santos;Isadora Rodrigues Nascimento Santos;16;31968,83;59723,71;91692,54;1
br-p-symmy-larrat-brito-de-carvalho;Symmy Larrat Brito de Carvalho;25;70802,89;89477,61;160280,50;2
br-p-marcos-vesolosquzki;Marcos Vesolosquzki;23;45774,47;210632,95;256407,42;0
br-p-giovana-cruz-mandulao;Giovana Cruz Mandulão;17;42220,40;128151,58;170371,98;1
br-p-bruno-leitao-praxedes;Bruno Leitão Praxedes;11;8299,67;31742,33;40042,00;0
br-p-leonardo-cezar-ribeiro;Leonardo Cezar Ribeiro;19;35437,52;186248,97;221686,49;2
br-p-viviane-esse;Viviane Esse;21;81500,66;155292,90;236793,56;3
br-p-adrualdo-de-lima-catao;Adrualdo de Lima Catão;20;47745,17;176495,27;224240,44;2
